libFLAC,,Num Of Confirmed Bugs with test cases:,5,Num of available crashes,9,,Project Link:,https://github.com/xiph/flac,,,,,
,,,,,,,,,,,,,
Invalid Access,5,,0,,,,,,,,,,
Failed Assertion,0,,0,,,,,,,,,,
Division By Zero,0,,0,,,,,,,,,,
Dangling Pointer Use,0,,,,,,,,,,,,
,,,,,,,,,,,,,
Internal ID,Tool Name,CVE ID,Date of Fix,Earlies Unfixed Commit,Commit ID / Version before fix,Commit ID / Version of fix,Notes,Shall we include?,Bug Type,Bug Details,Crash Input,Crash Status,Useful Link
1,FLAC,N/A,2000-12-17 19:07:46 +0000,,288c9de,d44feb1,N/A,I Don't Know,I Don't Know,encoder.c,No,TODO,https://github.com/xiph/flac/commit/d44feb1
2,FLAC,N/A,2001-01-05 23:26:59 +0000,,841e27e,da68d76,N/A,I Don't Know,I Don't Know,encode.c,No,TODO,https://github.com/xiph/flac/commit/da68d76
3,FLAC,N/A,2001-01-24 23:35:48 +0000,,a18b2ee,9c072fa,N/A,Yes,Assertion Failure,"decode.c

Assert failure",No,TODO,https://github.com/xiph/flac/commit/9c072fa
4,FLAC,N/A,2001-02-28 23:44:27 +0000,,f6237c8,fe9ba6f,N/A,Potential,I Don't Know,fixed.c,No,TODO,https://github.com/xiph/flac/commit/fe9ba6f
5,FLAC,N/A,2001-03-01 19:00:10 +0000,,22c8ad8,b210949,N/A,Yes,Buffer Overflow,decode.c,No,TODO,https://github.com/xiph/flac/commit/b210949
6,FLAC,N/A,2001-03-22 23:56:07 +0000,,10cffdd,674653f,N/A,Yes,Buffer Overflow,file_decoder.c,No,TODO,https://github.com/xiph/flac/commit/674653f
7,FLAC,N/A,2001-03-29 21:29:46 +0000,,ac4c158,7817ef5,N/A,Yes,Assertion Failure,bitbuffer.c,No,TODO,https://github.com/xiph/flac/commit/7817ef5
8,FLAC,N/A,2001-03-29 22:17:52 +0000,,bd646e1,2cf7d00,N/A,Potential,Buffer Overflow,stream_decoder.c,No,TODO,https://github.com/xiph/flac/commit/2cf7d00
9,FLAC,N/A,2001-03-29 22:54:33 +0000,,470785c,ef44878,N/A,Potential,Buffer Overflow,,No,TODO,https://github.com/xiph/flac/commit/ef44878
10,FLAC,N/A,2001-03-30 00:45:22 +0000,,4b2a27d,eef5670,N/A,Potential,Buffer Overflow,,No,TODO,https://github.com/xiph/flac/commit/eef5670
11,FLAC,N/A,2001-04-27 03:38:31 +0000,,72222ca,f932bc7,N/A,Potential,Buffer Overflow,bitbuffer.c,No,TODO,https://github.com/xiph/flac/commit/f932bc7
12,FLAC,N/A,2001-05-25 19:02:01 +0000,,31c8a1f,6bd1757,N/A,Potential,Buffer Overflow,,No,TODO,https://github.com/xiph/flac/commit/6bd1757
13,FLAC,N/A,2001-05-26 05:19:10 +0000,,480ddd8,697b603,N/A,Potential,Buffer Overflow,,No,TODO,https://github.com/xiph/flac/commit/697b603
14,FLAC,N/A,2001-07-12 21:26:57 +0000,,8395d02,63d9957,N/A,Potential,Buffer Overflow,stream_decoder.c,No,TODO,https://github.com/xiph/flac/commit/63d9957
15,FLAC,N/A,2001-07-18 00:25:52 +0000,,21aa17e,021ad3b,N/A,Yes,Assertion Failure,stream_decoder.c,No,TODO,https://github.com/xiph/flac/commit/021ad3b
16,FLAC,N/A,2002-01-26 23:17:17 +0000,,1152f9f,90cf0b2,N/A,Potential,Buffer Overflow,main.c,No,TODO,https://github.com/xiph/flac/commit/90cf0b2
17,FLAC,N/A,2002-02-12 05:19:45 +0000,,d471055,019795b,N/A,Yes,Assertion Failure,seekable_stream_decoder.c,No,TODO,https://github.com/xiph/flac/commit/019795b
18,FLAC,N/A,2002-03-01 06:52:52 +0000,,e4c62aa,1c2d8c4,N/A,No,Memory Leak,bitbuffer.c,No,TODO,https://github.com/xiph/flac/commit/1c2d8c4
19,FLAC,N/A,2002-05-07 05:33:10 +0000,,8c84e19,fad2e61,N/A,Potential,Buffer Overflow,metadata.c,No,TODO,https://github.com/xiph/flac/commit/fad2e61
20,FLAC,N/A,2002-05-09 05:39:01 +0000,,4074d05,294f82c,N/A,Yes,Assertion Failure,bitbuffer.c,No,TODO,https://github.com/xiph/flac/commit/294f82c
21,FLAC,N/A,2002-05-29 05:56:39 +0000,,b645e31,1e64706,N/A,No,Memory Leak,metadata.c,No,TODO,https://github.com/xiph/flac/commit/1e64706
22,FLAC,N/A,2002-06-15 05:10:55 +0000,,3ecb117,1482767,N/A,No,Infinite Loop,main.c,No,TODO,https://github.com/xiph/flac/commit/1482767
23,FLAC,N/A,2002-07-24 06:08:37 +0000,,9203160,93df7e0,N/A,No,Double Free,stream_decoder.c,No,TODO,https://github.com/xiph/flac/commit/93df7e0
24,FLAC,N/A,2002-08-16 05:39:34 +0000,,382b2f8,fc2b737,N/A,Yes,Assertion Failure,stream_encoder.c,No,TODO,https://github.com/xiph/flac/commit/fc2b737
25,FLAC,N/A,2002-10-11 06:24:33 +0000,,64df715,f12edc6,N/A,Yes,Assertion Failure,format.c,No,TODO,https://github.com/xiph/flac/commit/f12edc6
26,FLAC,N/A,2002-10-21 06:43:48 +0000,,8806494,2c718a2,N/A,Potential,Buffer Overflow,stream_decoder.c,No,TODO,https://github.com/xiph/flac/commit/2c718a2
27,FLAC,N/A,2002-11-08 06:05:23 +0000,,1786393,d9b6e33,N/A,Potential,Buffer Overflow,seekable_stream_encoder.c,No,TODO,https://github.com/xiph/flac/commit/d9b6e33
28,FLAC,N/A,2002-11-15 05:48:10 +0000,,d91f8fa,f70353b,N/A,Potential,Buffer Overflow,plugin.c,No,TODO,https://github.com/xiph/flac/commit/f70353b
