libXML2,,Num Of Confirmed Bugs with test cases:,0,Num of available crashes,1,,Project Link:,https://github.com/GNOME/libxml2,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Internal ID,Tool Name,CVE ID,Date of Fix,Earlies Unfixed Commit,Commit ID before fix,Commit ID of fix,Notes,Shall we include?,Bug Type,Bug Details,Crash Input,Crash Status,Useful Link
,libxml2,N/A,13 Nov 1998,,42dc9b3,242590e,N/A,Potential,I Don't Know,Potential Use-before write as intended assignment was in the form of an equality check.,No,TODO,https://github.com/GNOME/libxml2/commit/70120ffb43afc634e00cc539c36e00afa4486a63
,libxml2,N/A,1 Mar 1999,,d692aa4,bc50b59,N/A,No,Memory Leak,"Memory Leak in 
void xmlFreeInputStream(xmlParserInputPtr input)",No,TODO,https://github.com/GNOME/libxml2/commit/bc50b59d362f76dda6ef69c872c38ab0d60312e7
,libxml2,N/A,29 May 1999,,5099ae8,,N/A,No,Memory Leak,"Memory leak

Forgot to call xmlBufferFree(buf);",No,TODO,https://github.com/GNOME/libxml2/commit/5e60f5a2361a0ff73b710c0a28869ef0ec9b5092
,libxml2,N/A,15 Jun 1999,,34e0cc3,05240da,N/A,Yes,Buffer Overflow,Buffer overrun in parser.c,No,TODO,https://github.com/GNOME/libxml2/commit/05240da81832cc922f396e3ff3322666fad47668
,libxml2,N/A,9 Jul 1999,,82150d8,7cc3c04,"A test case seems to be easy to create manually. You just need to render the length to 0, and hope malloc returns an address (rather than NULL).",No,Infinite Loop,Seems like a potential infinite loop.,No,TODO,https://github.com/GNOME/libxml2/commit/7cc3c04b806cb29cdd2b7a8030615af8cad6738c
,libxml2,N/A,10 Aug 1999,,6a6ccc1,b05deb7,Commit message says it does bug fixes + additional features. It's a huge commit. A very quick skip of the code failed to spot the bug.,I Don't Know,I Don't Know,N/A,No,TODO,https://github.com/GNOME/libxml2/commit/b05deb7f5fa01da1cbc54f65199eff1c5421ec00
,libxml2,N/A,30 Aug 1999,,d2d38e9,e7a5a77,N/A,Yes,Use-Before-Write,Missed call to memset,No,TODO,https://github.com/GNOME/libxml2/commit/e7a5a77dd0abc0be021415f14027007b9a740991
,libxml2,N/A,1 Sep 1999,,e7a5a77,1ff7ae3,N/A,Potential,Double Free,Potential Double free or use of free,No,TODO,https://github.com/GNOME/libxml2/commit/1ff7ae3dfd22cf9b0ca92666b71b347bc4e83594
,libxml2,N/A,2 Sep 1999,,1ff7ae3,6454aec,N/A,I Don't Know,Memory Leak,Several Memory Leak fixes,No,TODO,https://github.com/GNOME/libxml2/commit/6454aec23de4875fb66fd735618858c9b0b2a008
,libxml2,N/A,8 Oct 1999,,00fdf37,2673d3c,Bug reported by Kristian Hogsberg Kristensen,I Don't Know,I Don't Know,Possible Crash,No,TODO,https://github.com/GNOME/libxml2/commit/2673d3c8564bb7970af29cecb0678a4c16ac23f0
,libxml2,N/A,25 Oct 1999,,7c1206f,3500838,N/A,Potential,I Don't Know,Crash,Yes,TODO,"https://github.com/GNOME/libxml2/commit/3500838f65e6eda8e943c620d5eb9da3109e3766
"
