Yara,,Num Of Confirmed Bugs with test cases:,0,Num of available crashes,0,Project Link:,https://github.com/VirusTotal/yara,Work on this has been temporary halted due to complex input test cases.,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Internal ID,Tool Name,CVE ID,Date of Fix,Earlies Unfixed Commit,Commit ID before fix,Commit ID of fix,Notes,Shall we include?,Bug Type,Bug Details,Crash Input,Crash Status,Useful Link
,yara,N/A,2017-01-17 17:07:02 +0100,TODO,d68cd32,3119b23,N/A,Potential,I Don't Know,,TODO,TODO,https://github.com/VirusTotal/yara/commit/3119b23
,yara,N/A,2016-12-15 23:03:45 +0100,TODO,779b9a7,6fd4883,N/A,Potential,I Don't Know,,TODO,TODO,https://github.com/VirusTotal/yara/commit/6fd4883
,yara,N/A,2016-11-27 18:09:57 +0100,TODO,10a64a1 ee8478e,0ac7f46,N/A,Potential,I Don't Know,,TODO,TODO,https://github.com/VirusTotal/yara/commit/0ac7f46
,yara,N/A,2016-11-02 09:23:15 +0100,TODO,ddd5e97,35f0165,N/A,Potential,I Don't Know,,TODO,TODO,https://github.com/VirusTotal/yara/commit/35f0165
,yara,N/A,2016-10-31 09:40:38 +0100,TODO,12fb707,8b2b6b8,N/A,Potential,I Don't Know,,TODO,TODO,https://github.com/VirusTotal/yara/commit/8b2b6b8
,yara,N/A,2016-10-13 22:48:38 +0200,TODO,cc6adeb,a9a1105,N/A,Potential,I Don't Know,,TODO,TODO,https://github.com/VirusTotal/yara/commit/a9a1105
,yara,N/A,2016-09-21 09:21:41 +0200,TODO,4d47719,ec67ad7,N/A,Potential,I Don't Know,,TODO,TODO,https://github.com/VirusTotal/yara/commit/ec67ad7
,yara,N/A,2016-09-14 16:35:59 +0200,TODO,58db66b,658aec6,N/A,Potential,I Don't Know,,TODO,TODO,https://github.com/VirusTotal/yara/commit/658aec6
,yara,N/A,2016-09-08 19:22:57 +0200,TODO,569339d,89c70ae,N/A,Potential,I Don't Know,,TODO,TODO,https://github.com/VirusTotal/yara/commit/89c70ae
,yara,N/A,2016-09-08 18:41:59 +0200,TODO,eeeb703,e516bed,N/A,Potential,I Don't Know,,TODO,TODO,https://github.com/VirusTotal/yara/commit/e516bed
,yara,N/A,2016-09-02 20:01:45 +0200,TODO,5122eb9,c6779bb,N/A,Potential,I Don't Know,,TODO,TODO,https://github.com/VirusTotal/yara/commit/c6779bb
,yara,N/A,2016-08-26 10:43:54 +0200,TODO,be8ed5f,5122eb9,N/A,Potential,I Don't Know,,TODO,TODO,https://github.com/VirusTotal/yara/commit/5122eb9
,yara,N/A,2016-08-25 21:47:54 +0200,TODO,64930a6,be8ed5f,N/A,Potential,I Don't Know,,TODO,TODO,https://github.com/VirusTotal/yara/commit/be8ed5f
,yara,N/A,2016-08-18 18:58:38 +0200,TODO,bc0dd65,3fe2c37,N/A,Potential,I Don't Know,,TODO,TODO,https://github.com/VirusTotal/yara/commit/3fe2c37
,yara,N/A,2016-08-18 12:22:41 +0200,TODO,a905b93,bc0dd65,N/A,Potential,I Don't Know,,TODO,TODO,https://github.com/VirusTotal/yara/commit/bc0dd65
