	project	bug_id	commit	bug_type
0	libtiff	264	cd82b52	Buffer Overflow
1	libtiff	265	cd82b52	Buffer Overflow
2	libtiff	139	8b4c419	Buffer Overflow
3	libtiff	141	8b4c419	Buffer Overflow
4	libtiff	269	cd82b52	Buffer Overflow
5	libtiff	270	d9783e4	Buffer Overflow
6	libtiff	273	d9783e4	Buffer Overflow
7	libtiff	274	d9783e4	Division By Zero
8	libtiff	281	d9783e4	Buffer Overflow
9	libtiff	282	d9783e4	Buffer Overflow
10	libtiff	286	cd82b52	Buffer Overflow
11	libtiff	287	d9783e4	Buffer Overflow
12	libtiff	162	9ec1d40	Buffer Overflow
13	libtiff	163	9ec1d40	Buffer Overflow
14	libtiff	291	cd82b52	Arithmetic Error
15	libtiff	292	cd82b52	Buffer Overflow
16	libtiff	293	f64949a	Buffer Overflow
17	libtiff	295	f64949a	Division By Zero
18	libtiff	297	f64949a	Buffer Overflow
19	libtiff	298	f64949a	Buffer Overflow
20	libtiff	299	f64949a	Division By Zero
21	libtiff	300	f64949a	Buffer Overflow
22	libtiff	301	f64949a	Buffer Overflow
23	libtiff	303	f64949a	Null Dereference
24	libtiff	305	f64949a	Buffer Overflow
25	libtiff	180	9ec1d40	Memory Leak
26	libtiff	308	f64949a	Assertion Failure
27	libtiff	309	f64949a	Buffer Overflow
28	libtiff	310	f64949a	Buffer Overflow
29	libtiff	311	f64949a	Buffer Overflow
30	libtiff	312	f64949a	Memory Leak
31	libtiff	313	f64949a	I Don't Know
32	libtiff	314	f64949a	Buffer Overflow
33	libtiff	315	f64949a	Buffer Overflow
34	libtiff	212	9ec1d40	Buffer Overflow
35	libtiff	218	9ec1d40	Buffer Overflow
36	libtiff	219	9ec1d40	Buffer Overflow
37	libtiff	220	9ec1d40	Out-Of-Bounds
38	libtiff	221	cd82b52	Out-Of-Bounds
39	libtiff	222	cd82b52	Buffer Overflow
40	libtiff	223	cd82b52	Buffer Overflow
41	libtiff	224	cd82b52	Buffer Overflow
42	libtiff	228	cd82b52	Buffer Overflow
43	libtiff	229	cd82b52	Buffer Overflow
44	libtiff	230	cd82b52	Division By Zero
45	libtiff	111	18b29a6	Buffer Overflow
46	libflac	59	d8d1717	Buffer Overflow
47	libflac	61	d8d1717	Buffer Overflow
48	libflac	63	d8d1717	Null Dereference
49	libflac	65	d8d1717	Null Dereference
50	libflac	66	d8d1717	Use-Before-Write
51	libflac	67	d8d1717	Buffer Overflow
52	zlib	1	14763ac	Double Free
53	zlib	2	14763ac	Buffer Overflow
54	zlib	3	7c2a874	Out-of-Bounds
55	zlib	4	7c2a874	I Don't Know
56	zlib	5	7c2a874	Buffer Overflow
57	libjpeg-turbo	23	3091354	Negative Shift
58	libjpeg-turbo	17	3091354	Out-of-Bounds
59	jasper	2	b702259	Double Free
60	jasper	9	b702259	Buffer Overflow
61	jasper	34	b702259	Division By Zero
62	jasper	35	b702259	Division By Zero
63	jasper	26	b702259	Buffer Overflow
64	jasper	27	b702259	Buffer Overflow
65	jasper	13	b702259	Assertion Failure
66	jasper	15	b702259	Unit Variable
67	jasper	17	b702259	Null Dereference
68	jasper	18	b702259	Double Free
69	jasper	23	b702259	Buffer Overflow
70	jasper	22	b702259	Buffer Overflow
71	jasper	32	b702259	Assertion Failure
72	jasper	33	b702259	Null Dereference
73	jasper	24	b702259	Assertion Failure
74	jasper	28	b702259	Assertion Failure
75	jasper	31	b702259	Assertion Failure
76	jasper	25	b702259	Buffer Overflow
77	jasper	20	b702259	Assertion Failure
78	jasper	19	b702259	Buffer Overflow
79	jasper	29	ed355a6	Buffer Overflow
80	jasper	30	ed355a6	Buffer Overflow
81	file	12	b6e8437	Buffer Overflow
82	file	8	b6e8437	Buffer Overflow
83	file	9	b6e8437	Use-Before-Write
84	file	10	b293f98	
85	file	11	b293f98	
86	file	7	b6e8437	Buffer Overflow
87	file	5	b6e8437	Buffer Overflow
88	file	6	b6e8437	Division By Zero
89	file	2	4a51454	
90	file	3	4a51454	Buffer Overflow
91	file	4	4a51454	Use-Before-Write
92	file	1	7445748	Assertion Failure
93	file	18	b6e8437	Buffer Overflow
94	w3m	11	02ba3d6	Out-of-Bounds
95	w3m	12	02ba3d6	Use-Before-Write
96	w3m	13	02ba3d6	Null Dereference
97	w3m	15	02ba3d6	Out-of-Bounds
98	w3m	16	02ba3d6	Out-of-Bounds
99	w3m	17	02ba3d6	Out-of-Bounds
100	w3m	18	02ba3d6	Out-of-Bounds
101	w3m	19	02ba3d6	Out-of-Bounds
102	w3m	20	02ba3d6	Out-of-Bounds
103	w3m	21	02ba3d6	Null Dereference
104	w3m	22	02ba3d6	Out-of-Bounds
105	w3m	24	02ba3d6	Out-of-Bounds
106	w3m	26	02ba3d6	Null Dereference
107	w3m	27	02ba3d6	Out-of-Bounds
108	w3m	28	02ba3d6	Null Dereference
109	w3m	30	02ba3d6	Null Dereference
110	w3m	31	02ba3d6	Out-of-Bounds
111	w3m	33	02ba3d6	Null Dereference
112	w3m	36	02ba3d6	Null Dereference
113	w3m	38	02ba3d6	Null Dereference
114	w3m	39	02ba3d6	Buffer Overflow
115	w3m	40	02ba3d6	Null Dereference
116	w3m	41	06caca1	Null Dereference
117	w3m	43	06caca1	Null Dereference
118	w3m	44	06caca1	Out-of-Bounds
119	w3m	45	06caca1	Out-of-Bounds
120	w3m	46	06caca1	Out-of-Bounds
121	w3m	48	06caca1	Out-of-Bounds
122	w3m	49	06caca1	Out-of-Bounds
123	w3m	50	06caca1	Out-of-Bounds
124	w3m	51	06caca1	Out-of-Bounds
125	w3m	52	06caca1	Out-of-Bounds
126	w3m	53	06caca1	Out-of-Bounds
127	w3m	54	06caca1	Out-of-Bounds
128	w3m	55	06caca1	Out-of-Bounds
129	w3m	56	06caca1	Out-of-Bounds
130	w3m	57	06caca1	Out-of-Bounds
131	w3m	58	06caca1	Out-of-Bounds
132	w3m	59	06caca1	Use-After-Free
133	w3m	60	06caca1	Out-of-Bounds
134	w3m	61	a56a8ef	Out-of-Bounds
135	w3m	62	a56a8ef	Out-of-Bounds
136	w3m	63	a56a8ef	Out-of-Bounds
137	w3m	64	a56a8ef	Out-of-Bounds
138	w3m	65	a56a8ef	Out-of-Bounds
139	w3m	66	a56a8ef	Out-of-Bounds
140	w3m	67	a56a8ef	Out-of-Bounds
141	w3m	68	a56a8ef	Out-of-Bounds
142	w3m	72	a56a8ef	Out-of-Bounds
143	w3m	73	a56a8ef	Out-of-Bounds
144	w3m	76	a56a8ef	Use-After-Free
145	w3m	78	a56a8ef	Out-of-Bounds
146	audiofile	4	ca645b2	Buffer Overflow
147	audiofile	13	b62c902	Buffer Overflow
148	audiofile	14	b62c902	Buffer Overflow
149	audiofile	16	b62c902	Buffer Overflow
150	audiofile	19	b62c902	Division By Zero
151	audiofile	20	b62c902	Buffer Overflow
152	audiofile	21	b62c902	Division By Zero
153	audiofile	22	b62c902	Buffer Overflow
154	tcpdump	154	a9e4211	Out-of-Bounds
155	tcpdump	155	a9e4211	Out-of-Bounds
156	tcpdump	158	a9e4211	Out-of-Bounds
157	tcpdump	180	a9e4211	Buffer Overflow
158	tcpdump	72	8322d3a	Out-of-Bounds
159	tcpdump	142	a9e4211	Out-of-Bounds
160	tcpdump	144	a9e4211	Out-of-Bounds
161	tcpdump	145	a9e4211	Out-of-Bounds
162	tcpdump	146	a9e4211	Out-of-Bounds
163	tcpdump	180	a9e4211	Out-of-Bounds
164	tcpdump	152	a9e4211	Out-of-Bounds
165	libgd	1	4d52bd1	
166	libgd	12	4d52bd1	
167	libgd	13	4d52bd1	
168	libgd	14	4d52bd1	
169	libgd	25	1ad34e9	
170	libtasn	14	b27f1ad	Buffer Overflow
171	libtasn	15	b27f1ad	Null Dereference
