Input file(s):
rusage_1.json
rusage_2.json
rusage_3.json
Filter out file-10b293f98,file-9b6e8437,libtiff-1639ec1d40,libtiff-228cd82b52,libtiff-229cd82b52,libtiff-264cd82b52,libtiff-286cd82b52,libtiff-295f64949a,libtiff-298f64949a,libtiff-299f64949a,libtiff-300f64949a,libtiff-311f64949a,tac6.10,w3m-3902ba3d6,w3m-4106caca1,w3m-4306caca1,w3m-4606caca1,w3m-4806caca1,w3m-4906caca1,w3m-5006caca1,w3m-5106caca1,w3m-5206caca1,w3m-5306caca1,w3m-5406caca1,w3m-5506caca1,w3m-5606caca1,w3m-5706caca1,w3m-5806caca1,w3m-5906caca1,w3m-6006caca1,w3m-61a56a8ef,w3m-62a56a8ef,w3m-63a56a8ef,w3m-64a56a8ef,w3m-65a56a8ef,w3m-66a56a8ef,w3m-67a56a8ef,w3m-68a56a8ef,w3m-72a56a8ef,w3m-73a56a8ef,w3m-76a56a8ef,w3m-78a56a8ef
ben	original    	hase        	ratio
audiofile-13b62c902	0.0023  	0.0123  	5.2972  
audiofile-14b62c902	0.0025  	0.0304  	12.3523 
audiofile-16b62c902	0.0023  	0.0209  	8.9193  
audiofile-19b62c902	0.0021  	0.0185  	8.7977  
audiofile-20b62c902	0.0023  	0.0220  	9.5125  
audiofile-21b62c902	0.0020  	0.0185  	9.0771  
audiofile-22b62c902	0.0033  	0.0253  	7.7083  
audiofile-4ca645b2	0.0025  	0.6434  	262.5124
b2sum8.27	0.0136  	0.0161  	1.1792  
date8.22	0.0027  	0.0053  	1.9593  
date8.27	0.0141  	0.0167  	1.1852  
file-10b293f98	0.0101  	0.0123  	1.2196  
file-11b293f98	0.0102  	0.0128  	1.2622  
file-12b6e8437	0.0084  	0.0228  	2.7185  
file-17445748	0.0092  	0.0133  	1.4430  
file-18b6e8437	0.0081  	0.0220  	2.7255  
file-24a51454	0.0094  	0.0222  	2.3628  
file-34a51454	0.0096  	0.0216  	2.2565  
file-44a51454	0.0089  	0.0218  	2.4390  
file-5b6e8437	0.0079  	0.0224  	2.8414  
file-6b6e8437	0.0080  	0.0222  	2.7655  
file-7b6e8437	0.0084  	0.0219  	2.6213  
file-9b6e8437	0.0082  	0.0137  	1.6631  
flac-59d8d1717	0.0391  	0.0421  	1.0746  
flac-61d8d1717	0.0394  	0.0423  	1.0735  
flac-63d8d1717	2.0835  	2.1382  	1.0263  
flac-65d8d1717	0.0283  	0.0295  	1.0412  
flac-66d8d1717	0.0267  	0.0295  	1.1036  
flac-67d8d1717	0.0369  	0.0411  	1.1138  
